,Unnamed: 0,Star_name,Distance,Mass,Radius,name,solar_distance,solar_mass,solar_radius,solar_gravities
38,73,HD 140283,0190,?,1.4,2MASSI J0937347+293142,20.0,3.8272006e-05,0.00992662,3.813899310905203
39,11,Hadar,0390,10.5,8.6,2MASS J00584253-0651239 [de],96.0,2.6425909e-05,0.015101135,1.1378933155858892
40,74,II Pegasi,0130,0.8,3.4,2MASS 0939−2448,17.4,2.9159624e-05,0.010032223,2.8449743575967825
41,95,Icarus,"014,400,000,000",33,?,TWA 29,262.0,1.8224765e-06,0.26400587,0.0002567589327018989
42,82,KIC 8462852,"01,470",1.43,1.58,Luhman 16B,6.516,3.9183244e-05,0.0107714385,3.3162233085345916
43,38,Kaus Australis,0140,3.5,6.8,2MASS J03552337+1133437,29.8,1.8224766e-05,0.013939509,0.9209961162465883
44,62,La Superba,"01,000",,129 - 342,DENIS-P J0751164-253043 [de],55.0,6.469792e-05,0.010877041,5.369818152169392
45,71,Lacaille 8760,012.87,0.6,0.51,2MASS J08533619-0329321,27.6,7.016535e-05,0.011299451,5.396333736106823
46,80,Luhman 16,06.52,0.04,?,2MASS J1047538+212423 [de],34.4,3.8272006e-05,0.00992662,3.813899310905203
47,84,Melnick 42,"0163,000",189,21.1,DENIS-P J1058.7−1548,49.0,5.831925e-05,0.010560233,5.135180580734437
48,41,Menkalinan,081,2.39,2.77,2MASS J04351612-1606574,34.0,9.1123824e-05,0.013305894,5.053992685589887
49,28,Miaplacidus,0110,3.5,6.8,2MASS J03205965+1854233,47.0,8.018897e-05,0.012144269,5.339033790247463
50,20,Mimosa,0350,16,8.4,2MASS J02411151-0326587 [de],152.0,2.4603432e-05,0.01488993,1.089685498420067
51,69,Mira,0300,1.2,370,2MASSI J0835425-081923 [de],23.53,5.649677e-05,0.010560233,4.974705884904554
52,35,Mirfak,0590,8.5,68,2MASP J0345432+254023,88.0,6.743163e-05,0.011088246,5.385533653537383
53,46,Mirzam,0500,13.5,10,2MASS J04510093-3402150 [de],69.0,9.4768774e-07,0.7603368,1.6096966200832486e-05
